upazila,district,latitude,longitude,network_type,signal_strength,accuracy,created_at
Sreepur,Magura,23.6,89.3875,3G/2G,Moderate,0,6/6/2025 16:45
Gangni,Meherpur,23.81666667,88.755,3G/2G,Moderate,5,6/6/2025 16:55
Meherpur Sadar,Meherpur,23.775,88.6417,3G/2G,Good,4,6/6/2025 16:58
Mujibnagar,Meherpur,23.65003,88.59804,Wi-Fi,Good,1,6/6/2025 16:59
Kalia,Narail,23.0333,89.6167,3G/2G,Moderate,9,6/6/2025 17:12
Lohagara,Narail,23.1833,89.6625,3G/2G,Good,1,6/6/2025 17:26
Narail Sadar,Narail,23.175,89.505,3G/2G,Low,4,6/6/2025 17:57
Assasuni,Satkhira,22.55,89.1681,3G/2G,Good,5,6/6/2025 18:03
Debhata,Satkhira,22.5667,88.9667,3G/2G,Low,5,6/6/2025 18:05
Kalaroa,Satkhira,22.59,89.01,3G/2G,Moderate,4,6/6/2025 18:08
Kaliganj,Satkhira,22.45,89.0417,3G/2G,Moderate,5,6/6/2025 18:35
Satkhira Sadar,Satkhira,22.7167,89.075,3G/2G,Low,4,6/6/2025 19:02
Shyamnagar,Satkhira,22.3306,89.1028,3G/2G,Moderate,7,6/6/2025 19:34
Tala,Satkhira,22.75,89.25,3G/2G,Moderate,7,6/6/2025 19:42
Bakshiganj,Jamalpur,25.225,89.875,3G/2G,Low,7,6/6/2025 19:46
Dewanganj,Jamalpur,25.1417,89.7833,Wi-Fi,Good,0,6/6/2025 19:47
Islampur,Jamalpur,25.0833,89.7917,Wi-Fi,Moderate,3,6/6/2025 19:47
Jamalpur Sadar,Jamalpur,24.9167,89.9583,3G/2G,Low,4,6/6/2025 19:48
Madarganj,Jamalpur,24.8917,89.75,3G/2G,Moderate,2,6/6/2025 19:53
Melendah,Jamalpur,24.9667,89.8333,3G/2G,Low,7,6/6/2025 20:10
Sarishabari,Jamalpur,24.7417,89.8333,Wi-Fi,Moderate,5,6/6/2025 20:14
Bhaluka,Mymensingh,24.375,90.37833333,3G/2G,Moderate,2,6/6/2025 20:15
Dhobaura,Mymensingh,25.0917,90.5333,3G/2G,Moderate,2,6/6/2025 20:18
Fulbaria,Mymensingh,24.6333,90.2667,Wi-Fi,Low,10,6/6/2025 20:20
Gaffargaon,Mymensingh,24.4167,90.55,Wi-Fi,Moderate,6,6/6/2025 20:22
Gouripur,Mymensingh,24.75833333,90.575,3G/2G,Low,1,6/6/2025 20:25
Haluaghat,Mymensingh,25.125,90.35,3G/2G,Low,2,6/6/2025 20:32
Ishwarganj,Mymensingh,24.6833,90.625,3G/2G,Moderate,3,6/6/2025 20:37
Muktagacha,Mymensingh,24.7583,90.2667,3G/2G,Moderate,9,6/6/2025 20:47
Mymensingh Sadar,Mymensingh,24.75,90.4167,Wi-Fi,Moderate,0,6/6/2025 20:51
Nandail,Mymensingh,24.5667,90.6833,3G/2G,Low,3,6/6/2025 20:52
Phulpur,Mymensingh,24.95,90.36166667,3G/2G,Good,3,6/6/2025 20:52
Tarakanda,Mymensingh,24.85,90.43333333,3G/2G,Good,10,6/6/2025 20:53
Trishal,Mymensingh,24.575,90.39166667,3G/2G,Moderate,5,6/6/2025 21:03
Atpara,Netrakona,24.8083,90.8667,3G/2G,Low,7,6/6/2025 21:06
Barhatta,Netrakona,24.9,90.875,3G/2G,Moderate,2,6/6/2025 21:10
Durgapur,Netrakona,25.125,90.6875,3G/2G,Good,4,6/6/2025 21:19
Kalmakanda,Netrakona,25.0833,90.8917,Wi-Fi,Good,5,6/6/2025 21:26
Kendua,Netrakona,24.65,90.8417,3G/2G,Good,6,6/6/2025 21:27
Khaliajuri,Netrakona,24.7,91.125,Wi-Fi,Low,1,6/6/2025 21:27
Madan,Netrakona,24.7167,90.9667,3G/2G,Moderate,5,6/6/2025 21:28
Mohanganj,Netrakona,24.8667,90.9667,3G/2G,Low,2,6/6/2025 21:28
Netrakona Sadar,Netrakona,24.875,90.7333,3G/2G,Good,0,6/6/2025 21:30
Purbadhala,Netrakona,24.9333,90.6028,3G/2G,Moderate,9,6/6/2025 21:31
Jhenaigati,Sherpur,25.1833,90.0667,Wi-Fi,Moderate,10,6/6/2025 21:32
Nakla,Sherpur,24.98333333,90.18333333,3G/2G,Low,9,6/6/2025 21:33
Nalitabari,Sherpur,25.08333333,90.18527778,3G/2G,Low,8,6/6/2025 21:34
Sherpur Sadar,Sherpur,25,90.0167,3G/2G,Low,2,6/6/2025 21:35
Sreebordi,Sherpur,25.18,89.95,3G/2G,Moderate,7,6/6/2025 21:37
Adamdighi,Bogura,24.81666667,89,Wi-Fi,Low,6,6/6/2025 21:44
Bogura Sadar,Bogura,24.8417,89.375,3G/2G,Moderate,5,6/6/2025 21:55
Dhunot,Bogura,24.6833,89.5375,3G/2G,Low,4,6/6/2025 22:11
Dhupchancia,Bogura,24.875,89.17,3G/2G,Low,8,6/6/2025 22:17
Gabtali,Bogura,24.875,89.45,3G/2G,Good,8,6/6/2025 22:22
Kahaloo,Bogura,24.8167,89.2667,3G/2G,Moderate,8,6/6/2025 22:28
Nandigram,Bogura,24.6611,89.2333,Wi-Fi,Moderate,2,6/6/2025 22:33
Sariakandi,Bogura,24.8833,89.5667,3G/2G,Moderate,7,6/6/2025 22:58
Shajahanpur,Bogura,24.7604,89.3606,3G/2G,Moderate,4,6/6/2025 23:04
Sherpur,Bogura,24.66666667,89.41666667,Wi-Fi,Low,2,6/6/2025 23:05
Shibganj,Bogura,25.0167,89.3167,3G/2G,Low,7,6/6/2025 23:15
Sonatala,Bogura,25.0333,89.4917,3G/2G,Low,6,6/6/2025 23:15
Bholahat,Chapainawabganj,24.89,88.22,3G/2G,Low,10,6/6/2025 23:41
Gomostapur,Chapainawabganj,24.86,88.37,3G/2G,Low,0,6/6/2025 23:52
Nachol,Chapainawabganj,24.73,88.42,3G/2G,Low,1,6/6/2025 23:56
Nawabganj Sadar,Chapainawabganj,24.6,88.2667,3G/2G,Low,4,6/7/2025 0:00
Shibganj,Chapainawabganj,24.6833,88.1667,3G/2G,Low,2,6/7/2025 0:04
Akkelpur,Joypurhat,24.975,89.02,Wi-Fi,Low,6,6/7/2025 0:07
Joypurhat Sadar,Joypurhat,25.1,89.03333333,3G/2G,Low,3,6/7/2025 0:11
Kalai,Joypurhat,25.0583,89.1833,3G/2G,Low,5,6/7/2025 0:11
Khetlal,Joypurhat,25.025,89.13333333,3G/2G,Low,7,6/7/2025 0:16
Panchbibi,Joypurhat,25.195,89.02,3G/2G,Good,9,6/7/2025 0:20
Atrai,Naogaon,24.61333333,88.97,3G/2G,Moderate,9,6/7/2025 0:41
Badalgachi,Naogaon,24.96666667,88.9,3G/2G,Low,9,6/7/2025 0:50
Dhamoirhat,Naogaon,25.14,88.85,3G/2G,Low,2,6/7/2025 0:52
Manda,Naogaon,24.775,88.67,3G/2G,Moderate,4,6/7/2025 1:07
Mohadevpur,Naogaon,24.9183,88.7483,3G/2G,Low,9,6/7/2025 1:15
Naogaon Sadar,Naogaon,24.805,88.95,3G/2G,Moderate,4,6/7/2025 1:22
Niamatpur,Naogaon,24.83,88.55,Wi-Fi,Moderate,4,6/7/2025 1:26
Patnitala,Naogaon,25.05,88.7333,3G/2G,Good,4,6/7/2025 1:38
Porsha,Naogaon,25.025,88.4833,Wi-Fi,Low,3,6/7/2025 1:52
Raninagar,Naogaon,24.7333,88.975,Wi-Fi,Moderate,5,6/7/2025 2:03
Sapahar,Naogaon,25.125,88.58166667,3G/2G,Low,5,6/7/2025 2:04
Bagatipara,Natore,24.33,88.945,3G/2G,Moderate,8,6/7/2025 2:41
Baraigram,Natore,24.3083,89.1708,Wi-Fi,Moderate,1,6/7/2025 2:44
Gurudaspur,Natore,24.3667,89.25,3G/2G,Moderate,5,6/7/2025 2:54
Lalpur,Natore,24.1833,88.975,3G/2G,Moderate,7,6/7/2025 3:01
Naldanga,Natore,24.4969,88.9605,3G/2G,Moderate,9,6/7/2025 3:07
Natore Sadar,Natore,24.4139,88.93,3G/2G,Good,6,6/7/2025 3:11
Singra,Natore,24.5,89.13333333,3G/2G,Good,9,6/7/2025 3:12
Atghoria,Pabna,24.1333,89.25,3G/2G,Moderate,9,6/7/2025 3:12
Bera,Pabna,24.0667,89.625,3G/2G,Moderate,7,6/7/2025 3:18
Bhangura,Pabna,24.225,89.4,3G/2G,Moderate,0,6/7/2025 3:23
Chatmohar,Pabna,24.23,89.3,3G/2G,Moderate,9,6/7/2025 3:40
Faridpur,Pabna,24.1583,89.4528,3G/2G,Moderate,4,6/7/2025 3:42
Ishwardi,Pabna,24.15,89.0667,3G/2G,Moderate,9,6/7/2025 3:45
Pabna Sadar,Pabna,24.005,89.25,3G/2G,Moderate,10,6/7/2025 3:52
Santhia,Pabna,24.0583,89.5333,3G/2G,Low,8,6/7/2025 3:56
Sujanagar,Pabna,23.9167,89.4333,3G/2G,Low,8,6/7/2025 3:59
Bagha,Rajshahi,24.1917,88.8333,Wi-Fi,Good,0,6/7/2025 4:05
Bagmara,Rajshahi,24.5639,88.8083,Wi-Fi,Moderate,4,6/7/2025 4:15
Charghat,Rajshahi,24.2833,88.775,3G/2G,Moderate,8,6/7/2025 4:17
Durgapur,Rajshahi,24.4556,88.7667,3G/2G,Moderate,8,6/7/2025 4:21
Godagari,Rajshahi,24.4667,88.3306,3G/2G,Low,5,6/7/2025 4:25
Mohanpur,Rajshahi,24.5639,88.65,3G/2G,Low,10,6/7/2025 4:27
Paba,Rajshahi,24.4417,88.6278,3G/2G,Good,3,6/7/2025 4:40
Puthia,Rajshahi,24.375,88.85,3G/2G,Good,0,6/7/2025 4:42
Tanore,Rajshahi,24.6028,88.5806,3G/2G,Good,3,6/7/2025 4:49
Belkuchi,Sirajganj,24.2917,89.7,3G/2G,Low,7,6/7/2025 5:01
Chowhali,Sirajganj,24.2111,89.7208,3G/2G,Moderate,4,6/7/2025 5:02
Kamarkhanda,Sirajganj,24.38,89.65,3G/2G,Moderate,2,6/7/2025 5:06
Kazipur,Sirajganj,24.6417,89.65,3G/2G,Low,6,6/7/2025 5:41
Raiganj,Sirajganj,24.5014,89.5347,3G/2G,Good,10,6/7/2025 5:42
Shahzadpur,Sirajganj,24.17,89.58833333,3G/2G,Moderate,9,6/7/2025 5:49
Sirajganj Sadar,Sirajganj,24.45833,89.7,Wi-Fi,Good,4,6/7/2025 5:51
Tarash,Sirajganj,24.4333,89.375,3G/2G,Low,10,6/7/2025 5:58
Ullapara,Sirajganj,24.3194,89.5667,3G/2G,Low,7,6/7/2025 6:02
Birampur,Dinajpur,25.3783,88.9833,Wi-Fi,Moderate,9,6/7/2025 6:12
Birganj,Dinajpur,26,88.5833,3G/2G,Good,3,6/7/2025 6:24
Birol,Dinajpur,25.6333,88.5333,3G/2G,Low,10,6/7/2025 6:28
Bochaganj,Dinajpur,25.8,88.4611,3G/2G,Low,1,6/7/2025 6:34
Chirirbandar,Dinajpur,25.6625,88.7833,3G/2G,Moderate,7,6/7/2025 6:37
Dinajpur Sadar,Dinajpur,25.6333,88.65,3G/2G,Moderate,0,6/7/2025 6:45
Fulbari,Dinajpur,25.51666667,88.88333333,3G/2G,Moderate,7,6/7/2025 6:50
Ghoraghat,Dinajpur,25.2458,89.2167,Wi-Fi,Moderate,3,6/7/2025 6:57
Hakimpur,Dinajpur,25.2833,89.0167,3G/2G,Low,3,6/7/2025 7:10
Kaharol,Dinajpur,25.7917,88.6,3G/2G,Low,8,6/7/2025 7:24
Khanshama,Dinajpur,25.9278,88.7333,Wi-Fi,Good,10,6/7/2025 7:31
Nawabganj,Dinajpur,25.4167,89.0833,Wi-Fi,Moderate,6,6/7/2025 7:33
Parbatipur,Dinajpur,25.6533,88.9155,3G/2G,Low,0,6/7/2025 8:00
Fulchari,Gaibandha,25.1917,89.6167,3G/2G,Moderate,7,6/7/2025 8:02
Gaibandha Sadar,Gaibandha,25.325,89.6278,3G/2G,Good,9,6/7/2025 8:16
Gobindaganj,Gaibandha,25.1333,89.3917,3G/2G,Low,6,6/7/2025 8:17
Palashbari,Gaibandha,25.2833,89.35,3G/2G,Good,1,6/7/2025 8:33
Sadullapur,Gaibandha,25.3833,89.4667,3G/2G,Good,7,6/7/2025 8:37
Saghata,Gaibandha,25.1056,89.5861,3G/2G,Good,9,6/7/2025 8:39
Sundarganj,Gaibandha,25.56436222,89.51909,3G/2G,Low,8,6/7/2025 8:43
Bhurungamari,Kurigram,26.125,89.6833,3G/2G,Low,7,6/7/2025 8:48
Chilmari,Kurigram,25.5667,89.6917,3G/2G,Low,8,6/7/2025 8:49
Fulbari,Kurigram,25.95,89.56666667,3G/2G,Low,0,6/7/2025 8:52
Kurigram Sadar,Kurigram,25.8167,89.65,3G/2G,Moderate,5,6/7/2025 8:58
Nageswari,Kurigram,25.96,89.74,Wi-Fi,Moderate,9,6/7/2025 9:02
Rajarhat,Kurigram,25.8,89.55,3G/2G,Low,2,6/7/2025 9:04
Char Rajibpur,Kurigram,25.4,89.6917,Wi-Fi,Moderate,0,6/7/2025 9:07
Rowmari,Kurigram,25.5625,89.85,3G/2G,Moderate,6,6/7/2025 9:15
Ulipur,Kurigram,25.6639,89.6333,3G/2G,Good,2,6/7/2025 9:21
Aditmari,Lalmonirhat,25.925,89.35,3G/2G,Moderate,6,6/7/2025 9:53
Hatibandha,Lalmonirhat,26.1125,89.1333,3G/2G,Good,3,6/7/2025 9:57
Kaliganj,Lalmonirhat,25.9676,89.2068,3G/2G,Low,9,6/7/2025 10:01
Lalmonirhat Sadar,Lalmonirhat,25.915,89.45,Wi-Fi,Good,6,6/7/2025 10:20
Patgram,Lalmonirhat,26.35,89.01666667,Wi-Fi,Low,2,6/7/2025 10:31
Dimla,Nilphamari,26.16,89,3G/2G,Good,6,6/7/2025 10:33
Domar,Nilphamari,26.1,88.8361,3G/2G,Moderate,4,6/7/2025 10:56
Jaldhaka,Nilphamari,26.03,88.99,3G/2G,Good,7,6/7/2025 10:57
Kishoreganj,Nilphamari,25.9111,89.025,3G/2G,Low,10,6/7/2025 10:59
Nilphamari Sadar,Nilphamari,25.9417,88.8444,3G/2G,Moderate,7,6/7/2025 11:15
Sayedpur,Nilphamari,25.7778,88.8917,3G/2G,Low,3,6/7/2025 11:16
Atwari,Panchagarh,26.3083,88.4583,3G/2G,Low,8,6/7/2025 11:26
Boda,Panchagarh,26.2083,88.5597,3G/2G,Low,1,6/7/2025 11:31
Debiganj,Panchagarh,26.1185,88.7592,3G/2G,Low,6,6/7/2025 11:38
Panchagarh Sadar,Panchagarh,26.3347,88.5583,3G/2G,Good,9,6/7/2025 11:57
Tetulia,Panchagarh,26.48333333,88.35,3G/2G,Good,4,6/7/2025 12:14
Badarganj,Rangpur,25.66666667,89.05,3G/2G,Low,6,6/7/2025 12:15
Gangachara,Rangpur,25.85,89.2167,3G/2G,Moderate,0,6/7/2025 12:20
Kaunia,Rangpur,25.7708,89.4167,3G/2G,Good,3,6/7/2025 12:20
Mithapukur,Rangpur,25.5417,89.2833,3G/2G,Low,3,6/7/2025 12:25
Pirgacha,Rangpur,25.58,89.4,3G/2G,Low,10,6/7/2025 12:27
Pirganj,Rangpur,25.4153,89.3167,3G/2G,Good,2,6/7/2025 12:31
Rangpur Sadar,Rangpur,25.75014,89.23333,3G/2G,Low,6,6/7/2025 12:38
Taraganj,Rangpur,25.79,89.04,3G/2G,Good,0,6/7/2025 12:42
Baliadangi,Thakurgaon,26.1,88.275,3G/2G,Moderate,0,6/7/2025 12:49
Haripur,Thakurgaon,25.8083,88.1417,3G/2G,Moderate,1,6/7/2025 12:56
Pirganj,Thakurgaon,25.8542,88.3667,Wi-Fi,Low,7,6/7/2025 12:59
Ranisankail,Thakurgaon,25.88833333,88.25166667,3G/2G,Low,6,6/7/2025 13:00
Thakurgaon Sadar,Thakurgaon,26.0208,88.4667,3G/2G,Moderate,8,6/7/2025 13:07
Ajmiriganj,Habiganj,24.5472,91.25,3G/2G,Moderate,9,6/7/2025 13:09
Bahubal,Habiganj,24.3556,91.5417,3G/2G,Good,9,6/7/2025 13:19
Baniachong,Habiganj,24.5417,91.3333,3G/2G,Moderate,7,6/7/2025 13:21
Chunarughat,Habiganj,24.2,91.51666667,3G/2G,Moderate,9,6/7/2025 13:22
Habiganj Sadar,Habiganj,24.375,91.4167,Wi-Fi,Low,3,6/7/2025 13:25
Lakhai,Habiganj,24.2889,91.2167,3G/2G,Low,1,6/7/2025 13:29
Madhabpur,Habiganj,24.1028,91.2917,3G/2G,Good,7,6/7/2025 13:33
Nabiganj,Habiganj,24.56666667,91.515,Wi-Fi,Good,8,6/7/2025 13:37
Sayestaganj,Habiganj,24.2733003,91.4463813,3G/2G,Low,8,6/7/2025 13:39
Barlekha,Moulvibazar,24.7083,92.2,3G/2G,Good,0,6/7/2025 13:39
Juri,Moulvibazar,24.58006,92.164672,Wi-Fi,Moderate,6,6/7/2025 13:40
Kamalganj,Moulvibazar,24.3667,91.8667,3G/2G,Low,10,6/7/2025 13:46
Kulaura,Moulvibazar,24.86833333,92.05916667,3G/2G,Low,9,6/7/2025 13:49
Moulvibazar Sadar,Moulvibazar,24.4778,91.7667,3G/2G,Good,9,6/7/2025 13:54
Rajnagar,Moulvibazar,24.51666667,91.86666667,3G/2G,Moderate,6,6/7/2025 14:04
Sreemangal,Moulvibazar,24.3083,91.7333,3G/2G,Moderate,8,6/7/2025 14:09
Biswamvarpur,Sunamganj,25.1,91.3,3G/2G,Low,1,6/7/2025 14:24
Chatak,Sunamganj,25.0417,91.675,3G/2G,Good,0,6/7/2025 14:33
Dakshin Sunamganj,Sunamganj,24.93951,91.41359,Wi-Fi,Moderate,10,6/7/2025 14:47
Derai,Sunamganj,24.79,91.35,3G/2G,Low,4,6/7/2025 14:49
Dharmapasha,Sunamganj,24.9,91.0167,Wi-Fi,Moderate,6,6/7/2025 15:02
Dowarabazar,Sunamganj,25.05,91.5667,3G/2G,Good,10,6/7/2025 15:04
Jagannathpur,Sunamganj,24.76666667,91.55,Wi-Fi,Moderate,9,6/7/2025 15:04
Jamalganj,Sunamganj,24.9833,91.2333,3G/2G,Good,0,6/7/2025 15:14
Sulla,Sunamganj,24.6264,91.25,3G/2G,Low,3,6/7/2025 15:24
Sunamganj Sadar,Sunamganj,25.06666667,91.4,3G/2G,Low,3,6/7/2025 15:33
Tahirpur,Sunamganj,25.0917,91.175,3G/2G,Low,6,6/7/2025 15:48
Balaganj,Sylhet,24.6667,91.8333,3G/2G,Good,4,6/7/2025 15:49
Beanibazar,Sylhet,24.825,92.1625,3G/2G,Low,2,6/7/2025 15:50
Biswanath,Sylhet,24.8083,91.7639,3G/2G,Moderate,0,6/7/2025 16:06
Companiganj,Sylhet,25.0791,91.7542,3G/2G,Low,0,6/7/2025 16:08
Dakshin Surma,Sylhet,24.803,91.914,3G/2G,Moderate,6,6/7/2025 16:09
Fenchuganj,Sylhet,24.7083,91.9403,3G/2G,Good,5,6/7/2025 16:15
Golapganj,Sylhet,24.8583,92.0208,3G/2G,Moderate,7,6/7/2025 16:18
Gowainghat,Sylhet,25.08,91.97,3G/2G,Good,7,6/7/2025 16:22
Jointiapur,Sylhet,25.125,92.1167,Wi-Fi,Low,8,6/7/2025 16:23
Kanaighat,Sylhet,25.0166,92.2472,3G/2G,Moderate,9,6/7/2025 16:25
Osmaninagar,Sylhet,24.718244,91.74657,Wi-Fi,Good,1,6/7/2025 16:27
Sylhet Sadar,Sylhet,24.8917,91.8833,3G/2G,Low,9,6/7/2025 16:30
Zakiganj,Sylhet,24.8778,92.3722,Wi-Fi,Moderate,2,6/7/2025 16:31
Gournadi,Barishal,22.9736,90.2306,3G/2G,Low,2,6/7/2025 16:39
Kawkhali,Pirojpur,22.625799,88.443123,4G,Moderate,9,6/7/2025 16:39
Mathbaria,Pirojpur,22.2869,89.9667,4G,Moderate,10,6/7/2025 16:50
Nazirpur,Pirojpur,22.77,89.98,4G,Low,5,6/7/2025 17:07
Nesarabad,Pirojpur,22.7472,90.1036,4G,Low,10,6/7/2025 17:08
Pirojpur Sadar,Pirojpur,22.5778,89.99,4G,Low,6,6/7/2025 17:27
Zianagar,Pirojpur,22.4858,89.9603,4G,Low,2,6/7/2025 17:30
Akhaura,Brahmanbaria,23.8833,91.2166,4G,Moderate,0,6/7/2025 17:34
Ashuganj,Brahmanbaria,24.0366,91.005,4G,Low,1,6/7/2025 17:51
Brahmanbaria Sadar,Brahmanbaria,23.9528,91.1167,4G,Low,6,6/7/2025 18:06
Bancharampur,Brahmanbaria,23.7778,90.8083,4G,Low,0,6/7/2025 18:09
Bijoynagar,Brahmanbaria,24.0211,91.2797,4G,Good,3,6/7/2025 18:09
Kasba,Brahmanbaria,23.7333,91.1667,4G,Good,9,6/7/2025 18:15
Nabinagar,Brahmanbaria,23.8833,90.9833,4G,Low,4,6/7/2025 18:19
Nasirnagar,Brahmanbaria,24.1065,91.195,4G,Moderate,4,6/7/2025 18:19
Sarail,Brahmanbaria,24.09247222,91.11977778,4G,Good,9,6/7/2025 18:25
Alikadam,Bandarban,21.6667,92.3056,4G,Low,5,6/7/2025 18:26
Bandarban Sadar,Bandarban,22.2333,92.1917,4G,Moderate,8,6/7/2025 18:37
Lama,Bandarban,21.775,92.2,4G,Moderate,2,6/7/2025 18:57
Naikhongchhari,Bandarban,21.4167,92.1833,4G,Moderate,4,6/7/2025 19:05
Rowangchari,Bandarban,22.1667,92.3333,4G,Good,10,6/7/2025 19:16
Ruma,Bandarban,22.05,92.4167,4G,Moderate,8,6/7/2025 19:22
Thanchi,Bandarban,21.7861,92.4278,4G,Moderate,9,6/7/2025 19:28
Chandpur Sadar,Chandpur,23.2139,90.6361,4G,Moderate,5,6/7/2025 19:30
Faridganj,Chandpur,23.125,90.7486,4G,Moderate,3,6/7/2025 19:31
Haimchar,Chandpur,23.0667,90.6375,4G,Low,8,6/7/2025 19:35
Hajiganj,Chandpur,23.25,90.85,4G,Low,6,6/7/2025 19:49
Kachua,Chandpur,23.35,90.8917,4G,Moderate,3,6/7/2025 19:54
Matlab (Dakshin),Chandpur,23.35,90.7083,4G,Low,0,6/7/2025 20:05
Matlab (Uttar),Chandpur,23.45,90.63,Wi-Fi,Good,10,6/7/2025 20:07
Shahrasti,Chandpur,23.2222,90.95,4G,Low,5,6/7/2025 20:19
Anwara,Chittagong,22.2167,91.9111,Wi-Fi,Moderate,5,6/7/2025 20:24
Banskhali,Chittagong,22.025,91.955,4G,Good,7,6/7/2025 20:32
Boalkhali,Chittagong,22.3778,91.9208,4G,Moderate,4,6/7/2025 20:34
Chandanish,Chittagong,22.2111,92.0417,4G,Good,5,6/7/2025 20:42
Fatikchari,Chittagong,22.75,91.74,Wi-Fi,Moderate,9,6/7/2025 20:44
Karnaphuli,Chittagong,22.3,91.9,Wi-Fi,Low,6,6/7/2025 20:45
Lohagara,Chittagong,22.0083,92.1056,4G,Good,3,6/7/2025 20:47
Mirsharai,Chittagong,22.7722,91.575,4G,Moderate,1,6/7/2025 20:54
Patiya,Chittagong,22.3,91.9833,4G,Moderate,4,6/7/2025 21:00
Rangunia,Chittagong,22.4667,92.0833,Wi-Fi,Good,10,6/7/2025 21:01
Raozan,Chittagong,22.5333,91.9333,4G,Good,6,6/7/2025 21:03
Sandwip,Chittagong,22.4833,91.4417,4G,Low,3,6/7/2025 21:10
Satkania,Chittagong,22.08833333,92.085,4G,Moderate,2,6/7/2025 21:14
Sitakunda,Chittagong,22.61666667,91.66166667,4G,Low,9,6/7/2025 21:45
Chakoria,Cox'S Bazar,21.7861,92.0778,Wi-Fi,Good,2,6/7/2025 21:49
Cox's Bazar Sadar,Cox'S Bazar,21.45,91.9833,4G,Good,6,6/7/2025 21:53
Kutubdia,Cox'S Bazar,21.8167,91.8583,Wi-Fi,Moderate,9,6/7/2025 21:57
Moheshkhali,Cox'S Bazar,21.55,91.95,4G,Low,5,6/7/2025 21:58
Pekua,Cox'S Bazar,21.825,91.975,4G,Good,5,6/7/2025 22:00
Ramu,Cox'S Bazar,21.45833333,92.1,4G,Low,7,6/7/2025 22:16
Teknaf,Cox'S Bazar,20.8667,92.3,4G,Low,1,6/7/2025 22:18
Ukhiya,Cox'S Bazar,21.22,92.12,4G,Good,10,6/7/2025 22:21
Barura,Cumilla,23.375,91.0583,4G,Moderate,4,6/7/2025 22:23
Brahmanpara,Cumilla,23.6167,91.1083,4G,Low,4,6/7/2025 22:25
Burichong,Cumilla,23.55,91.12666667,4G,Moderate,7,6/7/2025 22:25
Chandina,Cumilla,23.4833,91.0083,4G,Good,0,6/7/2025 22:27
Chauddagram,Cumilla,23.22,91.3,Wi-Fi,Low,5,6/7/2025 22:28
Cumilla Sadar,Cumilla,23.4583,91.1833,4G,Moderate,3,6/7/2025 22:34
Cumilla Sadar Daksin,Cumilla,23.3667,91.2,4G,Good,2,6/7/2025 22:41
Daudkandi,Cumilla,23.5333,90.7167,4G,Low,3,6/7/2025 22:41
Debidwar,Cumilla,23.6,90.9917,4G,Good,8,6/7/2025 23:04
Homna,Cumilla,23.6833,90.7917,4G,Low,3,6/7/2025 23:26
Laksham,Cumilla,23.24666667,91.12833333,4G,Low,8,6/7/2025 23:47
Lalmai,Cumilla,23.36002,91.15254,4G,Moderate,2,6/7/2025 23:55
Meghna,Cumilla,23.627,90.7037,4G,Moderate,9,6/8/2025 0:00
Monohorganj,Cumilla,23.1667,91.0667,Wi-Fi,Moderate,3,6/8/2025 0:09
Muradnagar,Cumilla,23.6385,90.9325,4G,Low,7,6/8/2025 0:17
Nangalkot,Cumilla,23.13,91.22,4G,Low,6,6/8/2025 0:25
Titas,Cumilla,23.6,90.7667,4G,Low,7,6/8/2025 0:35
Chhagalniya,Feni,23.0361,91.5194,4G,Low,3,6/8/2025 0:37
Daganbhuiyan,Feni,22.9375,91.3042,Wi-Fi,Low,2,6/8/2025 0:44
Amtali,Barguna,22.1294,90.2289,4G,Good,8,6/8/2025 0:50
Bamna,Barguna,22.3014,90.1,4G,Low,2,6/8/2025 0:53
Barguna Sadar,Barguna,22.1508,90.1264,4G,Good,5,6/8/2025 1:00
Betagi,Barguna,22.4167,90.1681,4G,Moderate,3,6/8/2025 1:01
Patharghata,Barguna,22.03333333,89.96666667,4G,Low,4,6/8/2025 1:09
Taltali,Barguna,22.00146,90.00295,4G,Good,4,6/8/2025 1:35
Agailjhara,Barishal,22.9667,90.15,4G,Moderate,5,6/8/2025 1:40
Babuganj,Barishal,22.8319,90.3222,4G,Low,5,6/8/2025 1:51
Bakerganj,Barishal,22.55,90.3389,4G,Moderate,3,6/8/2025 1:58
Banaripara,Barishal,22.7819,90.1667,4G,Low,6,6/8/2025 2:02
Barishal Sadar,Barishal,22.7,90.3667,4G,Moderate,0,6/8/2025 2:17
Hizla,Barishal,22.9,90.5083,4G,Good,5,6/8/2025 2:18
Mehendiganj,Barishal,22.8319,90.5333,4G,Low,0,6/8/2025 2:24
Muladi,Barishal,22.915,90.415,4G,Low,3,6/8/2025 2:25
Uzirpur,Barishal,22.8111,90.2444,4G,Low,6,6/8/2025 2:41
Bhola-S,Bhola,22.6903,90.6525,4G,Moderate,1,6/8/2025 2:44
Borhanuddin,Bhola,22.5,90.7217,4G,Good,6,6/8/2025 2:49
Charfassion,Bhola,22.1847,90.7625,4G,Good,5,6/8/2025 2:51
Daulatkhan,Bhola,22.6069,90.7358,4G,Low,6,6/8/2025 2:56
Lalmohan,Bhola,22.3211,90.7472,4G,Moderate,10,6/8/2025 2:58
Monpura,Bhola,22.2986,90.9792,4G,Low,0,6/8/2025 3:01
Tazumuddin,Bhola,22.4167,90.8486,Wi-Fi,Moderate,8,6/8/2025 3:06
Jhalokathi Sadar,Jhalokathi,22.6406,90.19868,4G,Moderate,8,6/8/2025 3:12
